country_abb_x	country_abb_y	agree
AGO	AFG	8
AGO	ALB	3
AGO	AND	3
AGO	DZA	9
ALB	AFG	2
AND	AFG	2
AND	ALB	10
AND	DZA	2
ARE	AFG	8
ARE	AGO	10
ARE	ALB	3
ARE	AND	3
ARE	ARG	10
ARE	ARM	7
ARE	ATG	10
ARE	AUS	3
ARE	AUT	3
ARE	AZE	9
ARE	BDI	10
ARE	BEL	3
ARE	BEN	8
ARE	BFA	8
ARE	BGD	10
ARE	BGR	3
ARE	BHR	10
ARE	BHS	10
ARE	BIH	4
ARE	BLR	7
ARE	BLZ	9
ARE	BOL	10
ARE	BRA	6
ARE	BRB	10
ARE	BRN	10
ARE	BTN	10
ARE	BWA	10
ARE	CAF	10
ARE	CAN	3
ARE	CHE	3
ARE	CHL	8
ARE	CHN	10
ARE	CIV	9
ARE	CMR	9
ARE	COD	8
ARE	COG	9
ARE	COL	9
ARE	COM	0
ARE	CPV	10
ARE	CRI	8
ARE	CUB	10
ARE	CYP	3
ARE	CZE	3
ARE	DEU	3
ARE	DJI	10
ARE	DMA	4
ARE	DNK	3
ARE	DOM	10
ARE	DZA	9
ARE	ECU	9
ARE	EGY	10
ARE	ERI	9
ARE	ESP	3
ARE	EST	3
ARE	ETH	9
ARE	FIN	3
ARE	FJI	10
ARE	FRA	3
ARE	FSM	2
ARE	GAB	9
ARE	GEO	3
ARE	GHA	10
ARE	GIN	10
ARE	GMB	10
ARE	GNB	10
ARE	GNQ	7
ARE	GRC	3
ARE	GRD	8
ARE	GTM	9
ARE	GUY	10
ARE	HND	10
ARE	HRV	3
ARE	HTI	10
ARE	HUN	3
ARE	IDN	10
ARE	IND	10
ARE	IRL	3
ARE	IRN	7
ARE	IRQ	10
ARE	ISL	3
ARE	ISR	3
ARE	ITA	3
ARE	JAM	10
ARE	JOR	10
ARE	JPN	3
ARE	KAZ	9
ARE	KEN	10
ARE	KGZ	10
ARE	KHM	9
ARE	KIR	7
ARE	KNA	10
ARE	KOR	3
ARE	KWT	10
ARE	LAO	9
ARE	LBN	10
ARE	LBR	3
ARE	LBY	9
ARE	LCA	9
ARE	LIE	3
ARE	LKA	10
ARE	LSO	8
ARE	LTU	3
ARE	LUX	3
ARE	LVA	3
ARE	MAR	9
ARE	MCO	3
ARE	MDA	3
ARE	MDG	9
ARE	MDV	10
ARE	MEX	7
ARE	MHL	2
ARE	MKD	3
ARE	MLI	10
ARE	MLT	3
ARE	MMR	9
ARE	MNE	3
ARE	MNG	10
ARE	MOZ	10
ARE	MRT	10
ARE	MUS	10
ARE	MWI	9
ARE	MYS	10
ARE	NAM	10
ARE	NER	9
ARE	NGA	10
ARE	NIC	8
ARE	NLD	3
ARE	NOR	3
ARE	NPL	10
ARE	NRU	4
ARE	NZL	3
ARE	OMN	10
ARE	PAK	10
ARE	PAN	8
ARE	PER	9
ARE	PHL	10
ARE	PLW	2
ARE	PNG	7
ARE	POL	2
ARE	PRK	7
ARE	PRT	3
ARE	PRY	10
ARE	QAT	10
ARE	ROU	3
ARE	RUS	7
ARE	RWA	8
ARE	SAU	10
ARE	SDN	10
ARE	SEN	10
ARE	SGP	10
ARE	SLB	7
ARE	SLE	8
ARE	SLV	10
ARE	SMR	3
ARE	SOM	8
ARE	SRB	5
ARE	SSD	0
ARE	STP	0
ARE	SUR	10
ARE	SVK	3
ARE	SVN	3
ARE	SWE	3
ARE	SWZ	9
ARE	SYC	0
ARE	SYR	8
ARE	TCD	9
ARE	TGO	9
ARE	THA	10
ARE	TJK	8
ARE	TKM	8
ARE	TLS	10
ARE	TON	1
ARE	TTO	10
ARE	TUN	10
ARE	TUR	5
ARE	TUV	8
ARE	UGA	10
ARE	UKR	2
ARE	VCT	9
ARE	WSM	8
ARE	ZAF	10
ARG	AFG	8
ARG	AGO	10
ARG	ALB	3
ARG	AND	3
ARG	ATG	10
ARG	DZA	9
ARM	AFG	5
ARM	AGO	7
ARM	ALB	5
ARM	AND	5
ARM	ARG	7
ARM	ATG	7
ARM	DZA	6
ATG	AFG	8
ATG	AGO	10
ATG	ALB	3
ATG	AND	3
ATG	DZA	9
AUS	AFG	2
AUS	AGO	3
AUS	ALB	9
AUS	AND	9
AUS	ARG	3
AUS	ARM	4
AUS	ATG	3
AUS	DZA	2
AUT	AFG	2
AUT	AGO	3
AUT	ALB	8
AUT	AND	8
AUT	ARG	3
AUT	ARM	4
AUT	ATG	3
AUT	AUS	9
AUT	DZA	2
AZE	AFG	9
AZE	AGO	9
AZE	ALB	2
AZE	AND	2
AZE	ARG	9
AZE	ARM	6
AZE	ATG	9
AZE	AUS	2
AZE	AUT	2
AZE	DZA	8
BDI	AFG	8
BDI	AGO	10
BDI	ALB	3
BDI	AND	3
BDI	ARG	10
BDI	ARM	7
BDI	ATG	10
