resolution	country	country_abb	vote
A/RES/77/243	AFGHANISTAN	AFG	X
A/RES/77/243	ALBANIA	ALB	Y
A/RES/77/243	ALGERIA	DZA	Y
A/RES/77/243	ANDORRA	AND	Y
A/RES/77/243	ANGOLA	AGO	Y
A/RES/77/243	ANTIGUA AND BARBUDA	ATG	Y
A/RES/77/243	ARGENTINA	ARG	Y
A/RES/77/243	ARMENIA	ARM	Y
A/RES/77/243	AUSTRALIA	AUS	Y
A/RES/77/243	AUSTRIA	AUT	Y
A/RES/77/243	AZERBAIJAN	AZE	X
A/RES/77/243	BAHAMAS	BHS	Y
A/RES/77/243	BAHRAIN	BHR	Y
A/RES/77/243	BANGLADESH	BGD	Y
A/RES/77/243	BARBADOS	BRB	Y
A/RES/77/243	BELARUS	BLR	A
A/RES/77/243	BELGIUM	BEL	Y
A/RES/77/243	BELIZE	BLZ	X
A/RES/77/243	BENIN	BEN	X
A/RES/77/243	BHUTAN	BTN	Y
A/RES/77/243	BOLIVIA (PLURINATIONAL STATE OF)	BOL	Y
A/RES/77/243	BOSNIA AND HERZEGOVINA	BIH	Y
A/RES/77/243	BOTSWANA	BWA	Y
A/RES/77/243	BRAZIL	BRA	X
A/RES/77/243	BRUNEI DARUSSALAM	BRN	Y
A/RES/77/243	BULGARIA	BGR	Y
A/RES/77/243	BURKINA FASO	BFA	X
A/RES/77/243	BURUNDI	BDI	Y
A/RES/77/243	CABO VERDE	CPV	Y
A/RES/77/243	CAMBODIA	KHM	X
A/RES/77/243	CAMEROON	CMR	Y
A/RES/77/243	CANADA	CAN	Y
A/RES/77/243	CENTRAL AFRICAN REPUBLIC	CAF	Y
A/RES/77/243	CHAD	TCD	Y
A/RES/77/243	CHILE	CHL	Y
A/RES/77/243	CHINA	CHN	Y
A/RES/77/243	COLOMBIA	COL	Y
A/RES/77/243	COMOROS	COM	X
A/RES/77/243	CONGO	COG	A
A/RES/77/243	COSTA RICA	CRI	Y
A/RES/77/243	COTE D'IVOIRE	CIV	X
A/RES/77/243	CROATIA	HRV	Y
A/RES/77/243	CUBA	CUB	Y
A/RES/77/243	CYPRUS	CYP	Y
A/RES/77/243	CZECHIA	CZE	Y
A/RES/77/243	DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA	PRK	X
